Pollutant,Coal,Crude oil,Natural gas,Geothermal,Hydro,Biofuels and waste,Carbon dioxide emissions,Total Population,GDP in 2018,Area,Urban population,GDP growth,Industry,longitude,latitude,Temperature (℃）,Rainfall,Humidity,Ores and metals exports,Ores and metals imports,Adjusted savings mineral depletion ,area chu Total Population,area chu GDP in 2018 
,1012.679456,2033.030726,1373.254717,38.35907031,130.4208391,3015.022926,0.3,571.202,2.205099509,0.403,64.7,3.603407094,14.62868997,23.0418,16.5388,25,300,75,13.91173958,0.472015092,0.098716695,0.00070553,0.182758192
,9032.494704,18133.4174,12248.61024,342.1399509,1163.275833,26892.20014,0.2618,5094.78,2.220979146,62.298,37.1,4.242383945,20.55575596,18.5582,4.3947,27,1200,75,0.823365896,0.623576138,0.011039033,0.01222781,28.04979061
,17849.84307,22127,37514.84587,24,356.2862457,113501,2.2064,15604.21,11.2391679,125.92,82,1.043874068,31.46876155,14.105,12.6348,31,400,45,0.087725718,0.483705472,0,0.008069617,11.20367639
,1376.319107,2763.064874,1866.372123,52.13329952,177.2532184,4097.677342,0.2716,776.313,1.188797449,0.1861,68.6,1.977091199,8.876795865,43.8722,11.875,28,1200,82.5,0,0,0,0.000239723,0.15654475
,11,111950,41118.40733,37527,30034,18607,8.4455,5040.734,62.42016499,5.106,4.46075,2.841797425,19.55814326,83.7534,9.7489,25,2500,52.5,1.434900196,1.863842161,0.092872501,0.001012948,0.081800489
,102409,97302,73047,10,10663,235046,12.3477,25493.988,58.52247779,31.8,53.21082,2.230589734,19.11168189,5.5471,7.539,27,1800,80,1.124448506,1.176578374,20.39597971,0.001247353,0.543380957
,145,299881,32266,604,523,80213,26.8379,11328.244,100.0500361,10.38,9.49348,2.124585241,24.87790646,77.7812,21.521,26.5,1200,82.5,7.222862319,1.367880358,8.447216589,0.000916294,0.103748089
,1874.297877,3762.79498,2541.661515,70.99613169,241.3868477,5580.295951,0.7022,1057.198,2.913466732,2.318,80,2.373065738,13.99160539,42.5903,11.8251,30.5,200,65,0.582915174,0.619781063,0,0.002192588,0.795615743
,200,503900,19689,529,74440,22714,41.3159,17015.672,107.478962,24.836,64.5,3.345607212,28.01474953,78.1834,1.8312,20.5,1500,75,1.339497619,1.407330257,6.798267087,0.001459596,0.231077781
,8810.416991,81696.59391,39646.87646,4004.734996,19422.96473,43050.9012,7.1002,6276.342,26.02085,2.072,16.5,3.232573985,25.07550676,88.8965,13.7942,27.5,1600,70,1.26795177,1.229633751,0.007700808,0.000330129,0.079628452
,2663.045117,45000,80991,300,34.29679318,700,6.1219,1502.091,13.09701213,2.805,60.5,4.839958953,13.68040764,9.467,1.6508,27.5,2000,82.5,0.074464517,1.01509919,0.162647702,0.001867397,0.214170986
,16670,157671,6000,3124,49158,1591737,17.7701,111129.438,84.26919663,112.8561,64.31438,8.484738705,27.30570214,40.4897,9.145,20,1200,70,0.815476613,1.131981777,2.429682032,0.001015537,1.33923313
,444369,30619,17982,0,4678,159286,5.3591,2192.012,16.8673264,25.767,44.33265,0.538132723,47.12708562,11.6094,0.8037,28,2000,82.5,3.118364755,0.560743715,0.069518799,0.011754954,1.527627994
,4334.572017,8701.981701,5877.942356,164.188334,558.2403355,12905.20305,0.504,2444.916,1.670671328,1.012,40.69583,10.11798068,17.3104258,15.3101,13.4432,27.5,1000,75,1.963709862,1.774474428,0,0.00041392,0.605744519
,73.39819731,680.601466,330.2918879,58.38492968,161.8096623,358.6502823,0.5104,56.023,3.055782146,41.045,58,2.122363004,18.21300677,42.6043,71.7069,-2.5,400,85,0.103210289,0.412710028,0.039337516,0.732645521,13.43191302
,159.6253247,1480.162102,718.313961,126.9746901,351.9012839,779.9873819,0.1294,121.838,1.166514815,0.034,40.7,2.585136114,13.43317702,61.679,12.1165,27.5,1500,77.5,1.379530132,0.899930413,0,0.000279059,0.029146651
,45587,175945,112,12596,19121,340875,18.7548,16346.95,73.32836586,10.716,37.6,3.622157965,21.42643238,90.5089,13.4786,25,1500,75,1.053090875,1.27394243,7.749973875,0.000655535,0.146137172
,22258.41795,44685.46027,30183.76373,843.1218919,2866.614433,66269.3807,3.1786,12554.864,11.85703037,24.572,48.17296,5.996978371,33.34100143,9.6966,9.9456,27,2000,80,25.82415852,1.286908171,19.37128953,0.00195717,2.07235701
,3412.73732,6851.32871,4627.878638,129.270353,439.5192003,10160.64975,0.2945,1924.955,1.554133594,2.812,64.41973,1.723476051,16.37057219,15.1804,11.8037,27,2000,80,0.628835415,0.764327193,0,0.001460813,1.809368262
,1029.136454,9542.901665,4631.114043,818.6312702,2268.778092,5028.734946,2.5808,785.514,4.787636998,19.685,13.78743,2.920011742,26.25976398,58.9302,4.8604,28,2300,82.5,9.891469192,1.453632636,8.70772034,0.025060024,4.11163169
,657,116076,46679.30194,17794,11356,84495,8.9964,9792.85,24.06775076,11.189,31.5,3.893961429,26.5924588,83.4288,13.9094,26,1500,75,0.007287045,0,0.002071582,0.001142568,0.464895956
,9503.332383,1615642,526338,206,6543,2087,173.9655,40590.7,227.367469,43.4128,47.79447,10.45794289,54.16994275,43.6793,33.2232,22.5,1500,50,0.000390007,3.445548076,0.038575069,0.001069526,0.190936725
,200264,396767,323336,21424,0,5381,63.5495,8882.8,375.1496111,2.164,92,3.187188563,18.87893716,35.2137,31.7683,22,500,55,1.154450689,1.432000711,9.425665023,0.000243617,0.005768365
,8593,206997,143926,16640,81,4165,25.2604,10459.865,43.3708607,8.878,19.05165,2.540592161,24.07783293,35.9304,31.9634,20.5,175,55,7.710708073,1.779958334,6.116544894,0.000848768,0.20469965
,17889,216115,120095.1859,186272,14351,709856,19.1136,49953.304,92.20297999,56.914,50.81331,6.049245534,17.31314613,36.8219,1.2921,24,1000,67.5,5.995356176,1.210904794,0.328128732,0.001139344,0.617268553
,2024.867365,2339.070921,6190.973782,11.63716876,174.5575314,116.3716876,0.0813,122.261,0.233514704,0.081,53,8.921545244,11.08181304,157.3625,1.4142,28.5,2000,85,0.942702357,1.401362922,0,0.000662517,0.346873232
,7096.319656,986194,782496,209,709.6319656,0.284872718,97.7207,4317.185,138.6463163,1.782,98,3.248967627,60.12765373,47.9774,29.3759,27,120,50,0.166819304,3.377689258,0,0.000412769,0.012852848
,43468,86684,11701,190.4681916,51546,86,6.8,6322.8,8.271106235,19.18,6.91123,2.877459412,27.47851368,74.7661,41.2044,6.5,450,65,15.42764688,0.881339151,27.83198047,0.003033466,2.318915929
,118989.5514,56696.45293,27082.8979,4866.64832,1216.66208,1216.66208,19.8621,7105.006,18.14164109,23.08,23.6,6.789182598,31.53319249,102.4955,19.8563,27,1500,70,26.34967625,0.967758175,20.79452083,0.003248414,1.272211256
,6986,341006,88800,2872,1251,6572,27.4953,5950.839,54.90151916,1.023,87,-1.089744574,13.80560238,35.8623,33.8547,19,1150,67.5,10.44234733,1.647148822,0,0.000171909,0.018633364
,3896.846755,7823.215077,5284.360373,147.6078316,501.8666276,11601.97557,0.6724,2198.017,2.556247292,3.036,29.68363,-2.566553282,31.13904258,28.2336,29.6093,13,850,65,1.235583867,0.313728469,0,0.001381245,1.18767852
,11484.42739,370473,479086,28,147.9055042,24941,57.1809,6477.793,76.68602977,175.95,77,-13.9752807,49.67675801,17.2283,26.3351,25,100,50,0.664788412,1.306504268,0.915247146,0.027162029,2.294420516
,9559,32799,64543.0847,54,3496,291173,3.3765,26846.541,13.76003328,58.18,69.82165,-0.596053236,21.48195747,46.8691,18.7669,25,1250,77.5,25.03975213,2.428624148,2.374960792,0.002167132,4.228187448
,32564.27283,65375.24469,44159.12755,1233.495183,4193.883622,96952.72137,5.4914,18367.883,9.879231592,9.428,49.78452,4.473738983,18.39079401,34.3015,13.2543,23,1000,70,0.520621162,0.885189255,0.000889078,0.000513287,0.954325234
,8262.701831,3937.033797,1875.582624,422.428519,253.4571114,1301.079838,2.1476,489.758,5.404344163,0.03,35.4025,7.733473342,13.0536487,73.2207,3.2028,28,2000,70,1.434977654,4.874543076,0,6.13E-05,0.00555109
,35341.35745,70950.45246,47925.0226,1338.687782,4551.538459,105220.8597,5.2932,19934.298,17.07086759,122.019,46.12357,4.765011556,20.7455356,3.9962,17.5707,30,400,40,0.190304416,0.526491696,71.64724207,0.006121058,7.147791368
,18744,33026,3041.976942,232,448,8067,4.1779,1265.303,14.73569593,0.1997,40.6,4.283523495,17.59954564,57.5522,20.3484,25,1250,75,0.665568678,0.998485654,0,0.000157828,0.013552125
,1837.188571,2122.269556,5617.151264,10.55855501,158.3783251,105.5855501,0.2,110.929,0.392,0.07,6.5,0.689591838,4.866454082,158.215,6.9114,28,3500,85,0.050019114,1.37243844,0,0.000631034,0.178571429
,3466,39852,89528,93,993,32155,8.7553,2707.203,11.25235342,3.2885,42.5,3.789548833,22.14797636,28.3699,47.4116,12,500,65,1.352695237,2.204804619,0,0.001214722,0.292249974
,332,49767,5783.613166,1055,4118,12240,4.2144,2405.68,13.68201908,82.427,41.4,-1.04077518,26.86990462,18.4904,22.9576,22.5,225,45,28.28431451,18.6857446,7.200710875,0.034263493,6.024476323
,40780,109958,67035.18917,4372,17091,411051,15.2805,28506.712,33.11152524,14.335,40.2822,9.253466767,13.20063963,84.124,28.3949,17,2000,77.5,2.340378738,3.898487034,0.000619753,0.000502864,0.432930827
,7131.208567,67603,32090.43855,31818,1479,63576,5.1764,6572.233,13.02523482,12.034,58.7,-4.678354189,24.99513368,85.2072,12.8654,28,1750,80,0.948880496,0.736761157,0.725714088,0.001831037,0.923898891
,2677,24340,1216,48,515.4951922,103869,2.0606,22577.058,12.8373075,126.67,70.44397,5.001888042,19.69767795,8.0817,17.6078,30,250,30,23.33159689,1.005038568,4.315031867,0.005610563,9.867333941
,432540.9298,206098.2344,98184.13743,22113.54447,13268.12668,68109.71696,51.1864,25638.149,2.85,12.041,60,3.9,30,127.5101,40.3399,9,1150,67.5,0,0,3.758958091,0.000469652,4.224912281
,295.8607455,341.7701715,904.5857276,1.700349112,25.50523668,17.00349112,1.2304,17.864,0.288546281,0.046,80,2.158610981,8.936950468,134.5825,7.5149,29,3000,85,2.111413322,0.413244167,0,0.002575011,0.159419833
,5642,120958,9297,2953,28278,13099,9.9267,4165.255,67.3164712,7.418,16.3,4.656754196,28.32646061,80.7821,8.538,27,2500,82.5,12.5632117,0.393747758,7.205924089,0.001780923,0.110195913
,154509.1836,178484.7465,472407.3888,887.9838135,13319.7572,8879.838135,6.7629,9329.227,24.10978071,45.286,13.5,5.05070745,36.92404507,143.9555,6.3149,27,3000,80,41.46753258,1.362957639,46.57040633,0.004854207,1.87832484
,157,113276,86050.45796,8691.965451,213159,129561,8.7196,6443.328,40.22544834,39.73,15.05286,4.484033449,33.55617521,58.4438,23.4425,23.5,1350,70,0.905089015,0.632405651,0,0.006166068,0.987683211
,4183.753583,38794.80595,18826.89112,3327.985805,9223.274944,20443.34137,13.5137,3193.354,100.9581,0.887,98,-3.9,50.6557671,66.5902,18.2208,27,1750,80,0,0,0,0.000277764,0.008785823
,1603,15018,1695,57,1116,166163,1.4571,12531.808,9.637904655,2.467,40.08982,9.691833438,17.34997975,29.8739,1.9403,22.5,1350,75,30.31443822,1.422062376,0.076935107,0.000196859,0.2559685
,62.57378758,580.2296667,281.5820441,49.77460376,137.946759,305.7582802,0.2,47.761,1.076548148,0.026,32,3.620522881,24.55069013,62.782,17.3577,27,1350,80,0.002183957,0,0,0.000544377,0.024151265
,137.9332705,1279.017599,620.6997171,109.719647,304.0801644,673.992117,0.1,105.281,0.88432963,0.039,49,2.922355818,14.55758495,61.287,12.9843,27,1350,80,0.432334207,0,0,0.000370437,0.044101202
,3473.034829,4011.954027,10618.70419,19.95997028,299.3995542,199.5997028,0.3613,209.701,0.878448433,0.278,20,2.664121353,11.72041111,172.1046,13.759,27.5,2500,82.5,1.290340913,0.916343405,0,0.001325697,0.316467068
,565.6862754,653.4651801,1729.569532,3.251070548,48.76605822,32.51070548,0.1405,34.156,1.655353653,0.006,100,-4.562259302,36.21692033,12.45,43.9333,12,900,67.5,0,0,0,0.000175665,0.003624603
,374.6900868,752.218735,508.1024663,14.19280632,48.25554149,1115.554577,0.8061,211.344,0.383717328,0.096,52.6,5.921293454,8.388262005,6.6131,0.1864,27,2500,85,1.690426863,1.195427622,0,0.000454236,0.250184167
,18002,93711,445,908,355.6172247,67626,10.3232,15574.909,23.11670156,19.253,35.15984,5.403455006,24.01344539,14.002,14.6928,27,800,70,6.896237471,2.066261624,19.62323628,0.001236155,0.832861036
,27322.20526,54851.39693,37050.56623,1034.932018,3518.76886,81345.65658,0.0855,15411.094,7.873440838,62.734,47.3,2.9,23.4,46.1996,5.1521,30,225,50,0.036151124,0.435682504,0,0.004070704,7.967799758
,61079,209810,47735.60677,1908,23042,165510,21.9788,21670,94.4938712,6.1864,18.5,4.28239816,30.05681952,80.7718,7.8731,28,2000,82.5,0.738017127,1.417323942,0.006354913,0.000285482,0.065468796
,74459.79571,270950,100971.9957,7333.161699,34765,497218,23.903,41999.059,32.33378038,186.8,73.7,-3.956056234,20.7757619,30.8025,12.8628,32.5,100,40,0.686044402,0.697935623,0.076097167,0.004447719,5.77723971
,2057.313518,4130.212744,2789.841816,202.6142101,26.4957044,6125.183428,10.8,1160.428,4.6594744,1.72,10.8082,0.061527645,34.28849184,31.4659,26.5225,21.5,900,67.5,0.241373821,0,0,0.001482212,0.369140348
,28,330485,124862,10,2714,326,28.9218,19333.463,21.49778287,18.363,56.3,2.904258313,18.49595161,38.9968,34.8021,21,600,60,2.663429878,2.886328162,3.66E-05,0.000949804,0.854181108
,21288.57311,10143.63504,4832.375492,1088.372859,653.0237152,3352.188405,0.6833,1261.845,1.5559886,1.487,33.9,-1.379519337,16.49902191,125.7275,8.8742,27.5,1500,80,0.319096506,0.957544541,0,0.001178433,0.955662529
,1741.477686,2011.706982,5324.517983,10.00849245,150.1273868,100.0849245,0.1587,105.15,0.489714518,0.072,36,3.330187767,15.33875322,175.1982,21.1789,27,1750,82.5,5.827763901,0.397899478,0,0.000684736,0.147024434
,27295.5185,50400,654506,22,60174.21124,548,31.5362,1504.709,24.5692573,0.513,81,-0.468012135,38.55155443,61.2225,10.6918,27.5,1750,80,0.549153042,4.53313193,0,0.00034093,0.020879752
,279465.0643,245379,722393,803.0605296,11,385,65.8168,6065.066,40.76542857,46.993,8.75663,6.5,45,59.5563,38.9697,19,200,30,0.399116593,0.955027928,0,0.007748143,1.152765999
,133,89586,2311,18524,23603,91944,6.8315,3427.042,65.34457635,17.502,94,-0.560781405,18.33338897,55.765,32.5228,15,1100,75,0.359413922,0.969780523,0.407819308,0.005107028,0.267841663
,102231,167678,1434292,934.1286585,21230,172,118.4511,32956.1,58.69589909,44.0587,50.6,5.522141801,28.64289864,64.5853,41.3775,16.5,150,50,7.635485344,2.54025517,223.6454187,0.001336891,0.750626546
,4923.802503,5687.840822,15054.38466,28.29771553,424.465733,282.9771553,0.2505,297.298,0.914736985,1.219,23,0.75962345,10.02957171,167.751,15.3767,26.5,2000,80,1.569238075,0.539978838,0,0.004100263,1.332623497
,3010,123231,721,1742,10.05527015,5354,12.1425,30790.513,21.60616078,52.797,44.2,-2.292522172,15.2,48.5164,15.5522,27.5,175,50,2.821800202,0.504801706,0,0.001714716,2.443608586
,42598,52852,42880.14432,423,49341,405760,8.4347,17835.893,26.31150727,74.3339,49.81077,7.262254605,34.48532158,27.8493,13.1339,21.5,1000,60,77.46060847,15.64545478,112.4054129,0.004167658,2.825147919
,154396.475,29877,24584,3,3939,68345,3.0528,5244363,14.77390029,34.2,44.18359,-2.154720585,-2.154720585,15.827,0.228,27,1500,80,0.927424743,0.729380932,11502856.42,6.52E-06,2.314893111
,5248881,1016778,835856,102,133926,2324730,6.4156,87087355,47.56821,234.4885,77.90169,1.315770075,1.315770075,13,4,26.5,1750,85,45.23134328,4.824556252,2914444694,2.69E-06,4.929521208
